LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	ANI_CI95	COVERED_SIG_LEN	BEST_SIG_COV	DEPTH	REL_ABUNDANCE
genus	Acidovorax	12916	6597	1440816	0.673092	2034	0.001124	0.796283	0.015287
genus	Xanthomonas	338	403	394197	0.986870	83208	0.078354	0.783554	0.015042
genus	Chlorobaculum	256319	2271	715956	0.987935	279305	0.292582	0.749989	0.014398
genus	Chryseobacterium	59732	2673	1407425	0.987657	643472	0.079414	0.714797	0.013722
genus	Hartmannibacter	1572860	3621	2397825	0.984289	48143	0.014077	0.701145	0.013460
genus	Citrobacter	544	351	173198	0.951326	8501	0.013029	0.677310	0.013003
genus	Carnobacterium	2747	1187	723781	0.927970	10568	0.005114	0.641009	0.012306
genus	Tolumonas	43947	1887	1693536	0.986165	944440	0.353571	0.634012	0.012171
genus	Pseudazoarcus	2891323	2685	955516	0.988021	427103	0.261552	0.585145	0.011233
genus	Wielerella	2944815	954	902058	0.944455	27339	0.009181	0.570920	0.010960
genus	Blautia	572511	1656	1503545	0.987270	923393	0.292070	0.562121	0.010791
genus	Aequoribacter	2847769	1831	1478442	0.869535	5758	0.002093	0.537438	0.010317
genus	Paracoccus	265	2314	941018	0.989188	162087	0.065553	0.520996	0.010002
genus	Brochothrix	2755	1053	1133241	0.977832	161948	0.016977	0.520970	0.010001
genus	Methylobacterium	407	731	603865	0.982505	77732	0.020715	0.516697	0.009919
genus	Cloacibacterium	501783	1337	327824	0.988597	189394	0.293497	0.508016	0.009753
genus	Flavobacterium	237	2046	1001229	0.988957	668650	0.167656	0.505542	0.009705
genus	Gardnerella	2701	553	145675	0.989260	87956	0.300710	0.498044	0.009561
genus	Mycolicibacterium	1866885	3708	867940	0.988849	364625	0.098491	0.456342	0.008761
genus	Nocardioides	1839	2654	585987	0.989041	327200	0.103967	0.446036	0.008563
genus	Isoptericola	254250	2534	509336	0.989049	266080	0.216790	0.414984	0.007967
genus	Bibersteinia	476528	1074	676531	0.975238	120630	0.020158	0.401754	0.007713
genus	Sphingobacterium	28453	1267	1303566	0.985635	172717	0.049952	0.390024	0.007487
genus	Nitrobacter	911	2253	702445	0.873124	7985	0.004132	0.369323	0.007090
genus	Limosilactobacillus	2742598	566	651659	0.968581	73043	0.017257	0.364232	0.006992
genus	Brevefilum	2019482	592	831062	0.986620	657053	0.270363	0.341965	0.006565
genus	Tessaracoccus	72763	1141	481188	0.988259	377714	0.147209	0.332093	0.006375
genus	Rothia	32207	723	593540	0.791634	15836	0.002221	0.331783	0.006369
genus	Xylophilus	54066	940	826561	0.945152	10099	0.004040	0.330681	0.006348
genus	Chromobacterium	535	144	54368	0.986305	38677	0.233427	0.328127	0.006299
genus	Vibrio	662	949	892291	0.985951	395807	0.143353	0.326118	0.006261
genus	Pseudodesulfovibrio	2035811	698	1110072	0.802410	4927	0.001362	0.325518	0.006249
genus	Shinella	323620	1526	366934	0.986196	21825	0.024368	0.323192	0.006204
genus	Acetobacter	434	632	879038	0.937365	14093	0.005176	0.322838	0.006198
genus	Flaviflexus	1522056	1164	537165	0.987700	332039	0.199406	0.322595	0.006193
