Contig_ID	Length(bp)	Mapped_Reads	RPM	RPKM
k141_101722	2183	83	20.4510	9.3683
k141_101724	5401	254	62.5849	11.5876
k141_101726	1382	35	8.6239	6.2402
k141_10173	1944	66	16.2622	8.3653
k141_101730	1089	22	5.4207	4.9777
k141_101736	1066	27	6.6527	6.2408
k141_101739	3867	200	49.2794	12.7436
k141_101742	1462	37	9.1167	6.2358
k141_10175	1444	33	8.1311	5.6310
k141_101752	2081	77	18.9726	9.1171
k141_101754	1202	36	8.8703	7.3796
k141_101756	1256	45	11.0879	8.8279
k141_10176	1539	45	11.0879	7.2046
k141_101765	1118	34	8.3775	7.4933
k141_101769	1510	42	10.3487	6.8534
k141_10177	1258	26	6.4063	5.0925
k141_101772	1852	75	18.4798	9.9783
k141_101774	3157	124	30.5533	9.6779
k141_101775	1338	47	11.5807	8.6552
k141_101776	3338	264	65.0489	19.4874
k141_101777	1779	77	18.9726	10.6647
k141_10178	1268	38	9.3631	7.3841
k141_101788	2297	99	24.3933	10.6196
k141_101791	1295	83	20.4510	15.7923
k141_101792	1109	13	3.2032	2.8883
k141_101797	1449	44	10.8415	7.4820
k141_101800	1159	43	10.5951	9.1416
k141_101802	1548	39	9.6095	6.2077
k141_101806	1083	27	6.6527	6.1429
k141_101807	1332	32	7.8847	5.9195
k141_101809	1321	29	7.1455	5.4092
k141_10181	1302	53	13.0591	10.0300
k141_101814	1964	66	16.2622	8.2801
k141_10182	2618	103	25.3789	9.6940
k141_101821	1317	54	13.3054	10.1028
k141_101822	1390	31	7.6383	5.4952
k141_101824	1003	21	5.1743	5.1589
k141_10183	1187	37	9.1167	7.6805
k141_101831	1053	29	7.1455	6.7859
k141_101836	3407	154	37.9452	11.1374
k141_101837	3041	168	41.3947	13.6122
k141_101845	1029	29	7.1455	6.9441
k141_101849	1367	52	12.8127	9.3728
k141_10185	3525	162	39.9163	11.3238
k141_101853	1208	30	7.3919	6.1191
k141_101858	1490	42	10.3487	6.9454
k141_101861	1215	41	10.1023	8.3146
k141_101865	14841	1190	293.2126	19.7569
k141_101866	1342	34	8.3775	6.2426
k141_101868	1901	69	17.0014	8.9434
k141_101869	1009	27	6.6527	6.5934
k141_101878	1113	30	7.3919	6.6414
k141_101880	2380	76	18.7262	7.8681
k141_101896	1119	30	7.3919	6.6058
k141_10190	2697	85	20.9438	7.7656
k141_101900	3695	191	47.0619	12.7366
k141_101901	1858	56	13.7982	7.4264
k141_101904	1233	28	6.8991	5.5954
k141_101906	1403	35	8.6239	6.1468
k141_101909	1449	39	9.6095	6.6318
k141_101910	1074	32	7.8847	7.3414
k141_101919	4021	140	34.4956	8.5789
k141_101926	1012	35	8.6239	8.5216
k141_101933	1314	26	6.4063	4.8754
k141_101940	1050	24	5.9135	5.6319
k141_101943	1613	41	10.1023	6.2630
k141_101947	2592	83	20.4510	7.8900
k141_101948	2112	64	15.7694	7.4666
k141_101953	3733	190	46.8155	12.5410
k141_101954	1738	50	12.3199	7.0885
k141_101955	2125	87	21.4366	10.0878
k141_101959	1096	20	4.9279	4.4963
k141_10196	1143	27	6.6527	5.8204
k141_101964	1569	45	11.0879	7.0668
k141_101965	1115	21	5.1743	4.6407
k141_101968	2016	75	18.4798	9.1666
k141_101971	2499	143	35.2348	14.0996
k141_101973	1265	39	9.6095	7.5964
k141_101976	1211	34	8.3775	6.9178
k141_101990	1088	25	6.1599	5.6617
k141_101996	1773	51	12.5663	7.0876
k141_101997	1246	42	10.3487	8.3055
k141_10200	2303	67	16.5086	7.1683
k141_102003	1193	37	9.1167	7.6418
k141_102004	1875	67	16.5086	8.8046
k141_102007	2348	134	33.0172	14.0618
k141_10202	1101	29	7.1455	6.4900
k141_102022	1973	106	26.1181	13.2378
k141_102027	1156	19	4.6815	4.0498
k141_102033	1471	60	14.7838	10.0502
k141_102034	1565	32	7.8847	5.0382
k141_102037	1497	34	8.3775	5.5962
k141_102038	6862	361	88.9494	12.9626
k141_102043	1082	31	7.6383	7.0594
k141_102045	1208	28	6.8991	5.7112
k141_102047	2549	114	28.0893	11.0197
k141_102049	1018	32	7.8847	7.7453
k141_102053	5720	243	59.8745	10.4676
k141_102055	1331	28	6.8991	5.1834
k141_102056	1000	28	6.8991	6.8991
k141_102057	3056	135	33.2636	10.8847
k141_10206	1025	27	6.6527	6.4905
k141_10207	1532	44	10.8415	7.0767
k141_102073	2213	76	18.7262	8.4619
k141_102075	2375	85	20.9438	8.8184
k141_102083	1966	51	12.5663	6.3918
k141_102084	2052	70	17.2478	8.4054
k141_102094	1112	25	6.1599	5.5395
k141_102096	1295	33	8.1311	6.2788
k141_102101	1926	107	26.3645	13.6887
k141_102108	1022	35	8.6239	8.4383
k141_102109	1099	32	7.8847	7.1744
k141_102118	2272	65	16.0158	7.0492
k141_10212	1089	22	5.4207	4.9777
k141_102122	3422	167	41.1483	12.0246
k141_102123	1885	93	22.9149	12.1565
k141_102125	1423	46	11.3343	7.9651
k141_10213	1449	37	9.1167	6.2917
k141_102133	3185	154	37.9452	11.9137
k141_102141	1725	44	10.8415	6.2849
k141_102145	2413	116	28.5821	11.8450
k141_10215	1165	29	7.1455	6.1335
k141_102150	2602	149	36.7132	14.1096
k141_102151	1074	24	5.9135	5.5061
k141_102152	5352	191	47.0619	8.7933
k141_102158	1433	48	11.8271	8.2534
k141_10216	1114	28	6.8991	6.1931
k141_102166	1180	36	8.8703	7.5172
k141_102168	1166	37	9.1167	7.8188
k141_10217	1639	51	12.5663	7.6670
k141_102170	1056	32	7.8847	7.4666
k141_102177	1479	51	12.5663	8.4965
k141_102182	1005	19	4.6815	4.6583
k141_102185	1836	45	11.0879	6.0391
k141_102188	1011	20	4.9279	4.8743
k141_102190	1503	64	15.7694	10.4920
k141_102195	1647	42	10.3487	6.2834
k141_102196	1945	62	15.2766	7.8543
k141_102199	1501	44	10.8415	7.2228
k141_102200	2731	127	31.2924	11.4582
k141_102201	1375	30	7.3919	5.3759
k141_102202	1379	36	8.8703	6.4324
k141_10222	7005	484	119.2562	17.0244
k141_102223	1704	62	15.2766	8.9652
k141_102226	1074	27	6.6527	6.1943
k141_102232	1215	37	9.1167	7.5035
