taxonomy_id	count
2955523	3
3427569	3
2955524	2
2955526	2
3059791	2
3427570	1
3427571	1
2955483	23
2955486	20
2955489	18
2955480	14
2955485	14
2955477	13
2955481	10
2955487	8
2955478	7
2955482	4
2955479	2
2955484	1
2955439	27
2955433	14
2844153	9
2955434	9
2955432	24
2955435	3
2955438	1
3432158	23
2956370	15
2956368	9
2955747	17
2955748	15
2955749	5
2955940	29
3060015	5
2955941	3
2587565	8
2587564	4
2794960	1
3431535	2
3431534	1
2955476	15
3059991	7
2955871	4
3432872	15113946
3432895	2236525
3432865	1747628
3432879	858252
3432893	264808
3432875	147744
3432892	141968
3432891	125625
3432877	88133
3432888	32771
2200716	5413
1979541	97
3432887	4391
3432880	4242
3432897	3609
3432862	3063
3432868	2336
3432863	1827
3393506	1756
3432883	1514
3432885	1227
3432869	849
3432896	768
3432870	453
3432878	345
3432864	198
3432884	182
3432881	177
3432890	134
3432889	125
3432886	97
3432876	65
3432873	64
3432866	26
3432871	23
3432874	14
3431817	2767
3431816	817
3431815	21
3431814	10
3431813	9
2108200	209
2108201	19
1527523	7
3428873	79
3428875	68
3428876	26
3428878	13
3428877	5
3428874	2
3432900	53
3432898	17
3432899	9
3429794	29
3429795	16
3429796	10
3431426	34
3431427	11
3429072	15
